GEOID,NAME,TRACTCE,STATEFP,COUNTYFP,GEOIDFQ,NAMELSAD,INTPTLAT,INTPTLON,median_rent,vacancy_rate_rental,median_rooms,renter_share,owner_share,recent_movers_share,overcrowded_share,rent_burden35_share,bed_0_share,bed_1_share,bed_2_share,bed_3_share,bed_4_share,bed_5p_share
11001005302,53.02,5302,11,1,1400000US11001005302,Census Tract 53.02,38.9124517,-77.0386443,2535.0,0.0,3.3,0.6693648816936488,0.3306351183063512,0.25404732254047324,0.04296388542963885,0.24118207816968543,0.14857142857142858,0.396,0.3554285714285714,0.048,0.016,0.036
11001004402,44.02,4402,11,1,1400000US11001004402,Census Tract 44.02,38.9155152,-77.0270354,3152.0,16.1,4.5,0.5632090761750406,0.4367909238249595,0.11102106969205834,0.029173419773095625,0.1971223021582734,0.10121168923734854,0.18602993585174626,0.36136849607982896,0.2466143977191732,0.10477548111190306,0.0
11001010602,106.02,10602,11,1,1400000US11001010602,Census Tract 106.02,38.9033936,-76.9994636,2836.0,4.5,3.5,0.6994236311239193,0.3005763688760807,0.3207492795389049,0.0,0.26186511240632804,0.0959119496855346,0.3490566037735849,0.25366876310272535,0.20885744234800838,0.08909853249475891,0.0034067085953878406
11001000804,8.04,804,11,1,1400000US11001000804,Census Tract 8.04,38.9221746,-77.0918347,1956.0,0.0,10.0,0.19283970707892595,0.807160292921074,0.08787632221318145,0.0,0.16666666666666666,0.0,0.14264919941775836,0.11790393013100436,0.20160116448326054,0.23435225618631733,0.3034934497816594
11001003902,39.02,3902,11,1,1400000US11001003902,Census Tract 39.02,38.9257717,-77.0452397,2211.0,16.3,3.3,0.4704724409448819,0.5295275590551181,0.1889763779527559,0.0,0.27615062761506276,0.20306513409961685,0.4574712643678161,0.15938697318007664,0.11647509578544062,0.013026819923371647,0.05057471264367816
11001000903,9.03,903,11,1,1400000US11001000903,Census Tract 9.03,38.9376821,-77.093331,1625.0,0.0,10.0,0.12041884816753927,0.8795811518324608,0.13089005235602094,0.0,0.5757575757575758,0.0,0.0,0.08838383838383838,0.34595959595959597,0.19444444444444445,0.3712121212121212
11001001004,10.04,1004,11,1,1400000US11001001004,Census Tract 10.04,38.9487665,-77.0853886,1464.0,7.0,7.7,0.24,0.76,0.05161290322580645,0.0,0.5809128630705395,0.1366087477531456,0.08687837028160575,0.11024565608148593,0.2840023966446974,0.201318154583583,0.18094667465548234
11001000102,1.02,102,11,1,1400000US11001000102,Census Tract 1.02,38.905422,-77.0620045,3501.0,11.0,5.2,0.3377049180327869,0.6622950819672131,0.06666666666666667,0.0,0.36283185840707965,0.07657453556864521,0.21024014499320345,0.28318985047575895,0.22972360670593567,0.12868146805618486,0.07159039420027186
11001003701,37.01,3701,11,1,1400000US11001003701,Census Tract 37.01,38.9214487,-77.0342887,2215.0,0.0,3.4,0.6711610486891386,0.32883895131086144,0.2539325842696629,0.035955056179775284,0.4492099322799097,0.12599565532223025,0.30919623461259954,0.4851556842867487,0.07965242577842144,0.0,0.0
11001002504,25.04,2504,11,1,1400000US11001002504,Census Tract 25.04,38.9394498,-77.0329275,1599.0,2.4,3.3,0.376271186440678,0.6237288135593221,0.1430508474576271,0.061016949152542375,0.16396396396396395,0.11898395721925134,0.36564171122994654,0.18783422459893048,0.20320855614973263,0.11831550802139038,0.006016042780748663
11001000101,1.01,101,11,1,1400000US11001000101,Census Tract 1.01,38.9076994,-77.0547765,2590.0,12.7,3.4,0.45703611457036114,0.5429638854296388,0.1780821917808219,0.007471980074719801,0.21798365122615804,0.16703786191536749,0.4922048997772829,0.18485523385300667,0.05011135857461024,0.05011135857461024,0.0556792873051225
11001000703,7.03,703,11,1,1400000US11001000703,Census Tract 7.03,38.9290941,-77.0790462,2317.0,12.5,4.1,0.3903088391906283,0.6096911608093717,0.16719914802981894,0.0,0.3352192362093352,0.08538220831470719,0.43585158694680376,0.35762181493071077,0.11712114438980778,0.0,0.004023245417970496
