,count,mean,std,min,25%,50%,75%,max
median_rent,196.0,1964.9285714285713,652.2703348639961,530.0,1415.25,1979.0,2333.0,3501.0
vacancy_rate_rental,204.0,6.667647058823529,5.98472047513159,0.0,2.075,5.7,10.125,29.4
median_rooms,203.0,4.429064039408867,1.676834774870585,1.4,3.3,4.1,5.3,10.0
renter_share,204.0,0.5725940020065303,0.23010221656909374,0.0472972972972973,0.4209787081767758,0.5859749782756198,0.7379570012529929,1.0
owner_share,204.0,0.4274059979934696,0.23010221656909374,0.0,0.2620429987470071,0.41402502172438016,0.5790212918232241,0.9527027027027027
recent_movers_share,204.0,0.15696525159967137,0.10482547989878438,0.0,0.08528813295478974,0.14011727327722126,0.22055920135883994,0.8333333333333334
overcrowded_share,204.0,0.018266662685457524,0.03062627307426514,0.0,0.0,0.007633852907671362,0.027321751209445584,0.30133333333333334
rent_burden35_share,204.0,0.3628456262253776,0.16508130979921593,0.0,0.24882781194316764,0.34692028985507245,0.45212601278879705,0.8212927756653993
