fold,mae,rmse
1,4.396643650087548,5.683555458415941
2,4.091010100806932,5.276559699837072
3,4.030010673157317,5.022005287438408
4,4.034198194260529,5.1735239684414305
5,5.181793152900243,6.299944997717409
